"release_group","MPR_Groupings","ExpansionStatus","Raw_Recoveries","Exp_Recoveries","SampleRate_obs","Proportion_of_group_raw_recoveries"
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Oregon Fisheries","notmissing",15,35.61,0.4212299915754,0.00887573964497041
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","Terminal Sport","notmissing",148,921.91,0.160536277944702,0.0875739644970414
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","WA Coastal Commercial/Treaty","notmissing",72,132.59,0.543027377630289,0.042603550295858
"CHELAN FALLS HATCHERY2012CHELAN R     47.0052","WA Coastal Sport","notmissing",14,29.4,0.476190476190476,0.00828402366863905
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Alaska Fisheries","missing",1,NA,NA,0.000778816199376947
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Alaska Fisheries","notmissing",138,311.14,0.443530243620235,0.107476635514019
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Canadian Fisheries","notmissing",119,421.29,0.282465759927841,0.0926791277258567
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Columbia commercial/treaty","notmissing",161,1294.55,0.124367540844309,0.125389408099688
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Columbia Estuary Sport","notmissing",1,2.89,0.346020761245675,0.000778816199376947
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Escapement","notmissing",585,1416.54,0.412978101571435,0.455607476635514
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Oregon Fisheries","notmissing",9,31.95,0.28169014084507,0.00700934579439252
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","Terminal Sport","notmissing",154,885.28,0.173956262425447,0.11993769470405
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","WA Coastal Commercial/Treaty","notmissing",101,174.23,0.579693508580612,0.0786604361370716
"CHELAN FALLS HATCHERY2013CHELAN R     47.0052","WA Coastal Sport","notmissing",15,28.87,0.519570488396259,0.0116822429906542
